time|prec|Rs|u2|Tmax|Tmin|RH|ETo
1980-01-01|32.78125|13.42786693572998|1.34038245677948|||88.82701873779297|2.8240444660186768
1980-01-02|4.234375|18.448741912841797|1.0129244327545166|||71.61548614501953|3.788140296936035
1980-01-03|0.0548095703125|24.419326782226562|1.6077303886413574|||70.23486328125|4.759060859680176
1980-01-04|0.0|27.9119873046875|1.735255479812622|||68.82975769042969|5.550785541534424
1980-01-05|0.0|25.8232479095459|1.5523933172225952|||68.70899963378906|5.410938262939453
1980-01-06|0.0|28.26186180114746|2.2485246658325195|||68.9547348022461|5.59124755859375
1980-01-07|0.0|15.837663650512695|2.2717134952545166|||86.1504898071289|3.398725986480713
1980-01-08|16.78125|14.03547477722168|1.4093471765518188|||87.27989196777344|2.911634922027588
1980-01-09|19.0625|11.28208065032959|1.3887215852737427|||88.972412109375|2.5052289962768555
1980-01-10|17.3125|14.52428913116455|2.184767007827759|||89.03489685058594|3.0234744548797607
1980-01-11|45.3125|14.534483909606934|1.1513150930404663|||93.52657318115234|2.8380277156829834
1980-01-12|15.375|11.200799942016602|1.597436785697937|||92.0521240234375|2.225820541381836
1980-01-13|14.3046875|13.448104858398438|1.6947686672210693|||87.40373229980469|2.7920494079589844
1980-01-14|18.84375|15.02391242980957|2.7638204097747803|||84.83008575439453|3.172628164291382
1980-01-15|0.5263671875|12.993534088134766|2.588738203048706|||84.97932434082031|2.8723576068878174
1980-01-16|14.2734375|10.463396072387695|1.9661457538604736|||94.82835388183594|2.021115779876709
1980-01-17|53.40625|10.79065227508545|1.8795459270477295|||95.11136627197266|2.1485371589660645
1980-01-18|26.828125|11.553938865661621|1.6319795846939087|||91.33921813964844|2.4431099891662598
1980-01-19|18.875|15.685844421386719|1.3580809831619263|||88.49232482910156|3.213421106338501
1980-01-20|13.6875|21.728071212768555|1.4317045211791992|||85.92293548583984|4.4135236740112305
1980-01-21|7.44921875|16.6007022857666|0.7820311188697815|||85.24694061279297|3.51648211479187
1980-01-22|6.140625|17.890275955200195|1.1881451606750488|||87.50416564941406|3.6645302772521973
1980-01-23|24.53125|19.124513626098633|0.9026082158088684|||82.6712875366211|3.9212143421173096
1980-01-24|11.484375|19.206239700317383|1.1367435455322266|||85.84201049804688|3.8668198585510254
1980-01-25|18.65625|13.341119766235352|0.8834905028343201|||89.07017517089844|2.9580371379852295
1980-01-26|55.9375|13.336004257202148|1.0759285688400269|||92.79837036132812|2.769355297088623
1980-01-27|16.1875|19.206899642944336|1.2337682247161865|||90.38753509521484|3.85676908493042
1980-01-28|5.765625|18.14090347290039|0.6379009485244751|||88.83757781982422|3.7666261196136475
1980-01-29|1.0576171875|20.859115600585938|0.9261460304260254|||79.23640441894531|4.314439296722412
1980-01-30|0.01136016845703125|21.216596603393555|1.4378525018692017|||79.48375701904297|4.436828136444092
1980-01-31|0.0|14.463648796081543|1.9802722930908203|||87.32964324951172|3.0612175464630127
1980-02-01|6.22265625|17.64056396484375|1.4812307357788086|||88.53414916992188|3.5854175090789795
1980-02-02|19.5625|11.986374855041504|1.1232635974884033|||89.77598571777344|2.621736526489258
1980-02-03|7.796875|16.496156692504883|1.4422205686569214|||81.89382934570312|3.5928843021392822
1980-02-04|3.298828125|23.1269588470459|1.361876368522644|||80.91890716552734|4.7308783531188965
1980-02-05|0.0|25.96965789794922|1.1274775266647339|||75.49185180664062|5.1901373863220215
1980-02-06|0.0|25.61273193359375|1.0097368955612183|||73.6800765991211|5.172588348388672
1980-02-07|1.642578125|23.673831939697266|1.0497487783432007|||73.5610122680664|5.0315680503845215
1980-02-08|5.76953125|15.014701843261719|1.4075400829315186|||85.47100067138672|3.3186349868774414
1980-02-09|1.8486328125|24.273181915283203|2.108179807662964|||76.55778503417969|5.1441755294799805
1980-02-10|0.119384765625|19.704391479492188|2.2713088989257812|||78.00508117675781|4.297325611114502
1980-02-11|0.0196990966796875|18.427425384521484|1.6026722192764282|||77.513427734375|3.9764628410339355
1980-02-12|0.0|17.340656280517578|1.8482283353805542|||81.85855865478516|3.830259323120117
1980-02-13|13.546875|10.117119789123535|2.032421827316284|||92.728271484375|2.122877359390259
1980-02-14|10.015625|11.883196830749512|1.4074008464813232|||83.55314636230469|3.0876948833465576
1980-02-15|0.3759765625|15.080260276794434|2.4844110012054443|||79.8415298461914|3.6075375080108643
1980-02-16|11.3984375|11.335529327392578|2.334489583969116|||86.64448547363281|2.473334550857544
1980-02-17|12.84375|15.884295463562012|1.8216557502746582|||86.66665649414062|3.092045783996582
1980-02-18|5.328125|11.067766189575195|2.119004726409912|||93.92686462402344|2.2058987617492676
1980-02-19|19.578125|17.406261444091797|1.7085641622543335|||86.08536529541016|3.5842294692993164
1980-02-20|1.48046875|21.787639617919922|1.1162174940109253|||80.1935043334961|3.960132598876953
1980-02-21|0.03369140625|18.578643798828125|1.0551409721374512|||77.62061309814453|3.91025710105896
1980-02-22|0.0036334991455078125|20.466758728027344|2.1430766582489014|||80.27783203125|4.247542858123779
1980-02-23|3.94921875|16.37421989440918|0.8479255437850952|||80.35973358154297|3.5965869426727295
1980-02-24|3.689453125|19.97652816772461|0.9784291386604309|||78.59767150878906|4.1251220703125
1980-02-25|0.16650390625|20.095386505126953|0.8756603598594666|||76.95361328125|4.14788818359375
1980-02-26|0.4765625|14.76498794555664|1.3340396881103516|||82.90818786621094|3.290022134780884
1980-02-27|4.6953125|11.115070343017578|0.9205672144889832|||88.81143951416016|2.4823057651519775
1980-02-28|14.9375|14.386954307556152|1.6121286153793335|||83.86579132080078|3.105990409851074
