time,prec,Rs,u2,Tmax,Tmin,RH,ETo
1980-01-01,5.05078125,15.202082633972168,1.3859138488769531,25.329605102539062,18.83370018005371,86.70271301269531,2.7251503467559814
1980-01-02,1.0986328125,25.057584762573242,1.2656972408294678,27.38992691040039,17.68680763244629,76.17020416259766,4.740559101104736
1980-01-03,0.0,28.262781143188477,0.7391023635864258,29.570144653320312,16.08927345275879,72.9460678100586,5.390103816986084
1980-01-04,0.0,28.228425979614258,0.9015001654624939,31.427993774414062,15.864889144897461,70.7894287109375,5.594659805297852
1980-01-05,0.0,26.559097290039062,2.0433707237243652,30.41205596923828,17.960294723510742,73.81146240234375,5.597366809844971
1980-01-06,0.0,26.696863174438477,1.3951839208602905,30.7474308013916,18.99650001525879,79.58060455322266,5.481003284454346
1980-01-07,3.0703125,13.62136173248291,1.340847134590149,27.168746948242188,19.42157745361328,91.55471801757812,2.8656411170959473
1980-01-08,22.15625,12.132420539855957,1.1422271728515625,26.264955520629883,19.083459854125977,89.7576904296875,2.623917818069458
1980-01-09,2.033203125,14.618634223937988,1.7234102487564087,27.42499542236328,19.49541473388672,87.64147186279297,3.1989428997039795
1980-01-10,6.87109375,16.348947525024414,1.711344838142395,26.34803009033203,19.609363555908203,84.82405090332031,3.5996532440185547
1980-01-11,0.02264404296875,12.458878517150879,1.2986987829208374,27.34501075744629,19.543861389160156,88.26192474365234,2.762049674987793
1980-01-12,10.8515625,10.697072982788086,1.01730477809906,27.626264572143555,19.437644958496094,88.95488739013672,2.4325499534606934
1980-01-13,33.8125,13.721688270568848,1.6635633707046509,24.989023208618164,19.338212966918945,90.53450775146484,2.850511074066162
1980-01-14,8.125,18.55657196044922,1.4026397466659546,28.409263610839844,19.09066390991211,86.65840911865234,3.871400833129883
1980-01-15,23.703125,13.81971549987793,1.4396394491195679,27.46173667907715,20.077924728393555,91.8652114868164,2.957258462905884
1980-01-16,36.03125,10.57077693939209,1.2541964054107666,24.051054000854492,19.590105056762695,95.39665985107422,2.1269750595092773
1980-01-17,25.34375,12.112704277038574,2.0995523929595947,26.627017974853516,19.66065788269043,91.63611602783203,2.680434226989746
1980-01-18,22.359375,12.309895515441895,1.4353265762329102,26.49726104736328,19.29340934753418,91.43174743652344,2.582185745239258
1980-01-19,15.1015625,14.725419998168945,0.8416185975074768,27.927629470825195,18.80215072631836,88.57434844970703,3.1194586753845215
1980-01-20,11.3203125,23.21384620666504,0.7855335474014282,31.28170394897461,19.519695281982422,82.93042755126953,4.7547526359558105
1980-01-21,14.9921875,22.139062881469727,0.6885843276977539,30.79840660095215,18.9053897857666,83.41761779785156,4.537517070770264
1980-01-22,1.0498046875,18.58500099182129,1.0487760305404663,31.035533905029297,20.38467788696289,87.17378997802734,3.9546260833740234
1980-01-23,21.390625,17.01097297668457,1.244986891746521,30.02501678466797,19.55833625793457,89.49906921386719,3.5974576473236084
1980-01-24,12.0390625,21.2862491607666,1.1162748336791992,30.423498153686523,19.71991539001465,83.72162628173828,4.465780258178711
1980-01-25,1.083984375,20.45722198486328,1.4780322313308716,29.454668045043945,19.16602325439453,82.87090301513672,4.308226585388184
1980-01-26,2.44140625,17.238052368164062,1.0969831943511963,29.185546875,19.771381378173828,85.47406768798828,3.6494407653808594
